Overriding: dataset = shakespeare_char
Overriding: block_size = 64
Overriding: n_layer = 4
Overriding: n_head = 4
Overriding: n_embd = 256
Overriding: batch_size = 8
Overriding: max_iters = 2000
Overriding: dropout = 0.1
Overriding: eval_interval = 200
Overriding: compile = False
Overriding: out_dir = C:\Users\dunke\nanoGPT_CSCE5218\out\b64_l4_h4_e256_bs8_it2000_do01
Overriding: wandb_log = False
tokens per iteration will be: 20,480
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 3.16M
num decayed parameter tensors: 18, with 3,178,752 parameters
num non-decayed parameter tensors: 9, with 2,304 parameters
using fused AdamW: True
step 0: train loss 4.2853, val loss 4.2801
iter 149: loss 2.6595, time 231.71ms, mfu 0.55%
iter 150: loss 2.6783, time 227.14ms, mfu 0.56%
iter 151: loss 2.6489, time 224.62ms, mfu 0.56%
iter 152: loss 2.7068, time 230.15ms, mfu 0.56%
iter 153: loss 2.7281, time 229.22ms, mfu 0.56%
iter 154: loss 2.6193, time 223.90ms, mfu 0.56%
iter 155: loss 2.5821, time 242.39ms, mfu 0.56%
iter 156: loss 2.6976, time 227.39ms, mfu 0.56%
iter 157: loss 2.6667, time 236.09ms, mfu 0.56%
iter 158: loss 2.6119, time 233.85ms, mfu 0.56%
iter 159: loss 2.5753, time 237.36ms, mfu 0.56%
iter 160: loss 2.6097, time 229.95ms, mfu 0.56%
iter 161: loss 2.6722, time 245.38ms, mfu 0.56%
iter 162: loss 2.6626, time 231.81ms, mfu 0.56%
iter 163: loss 2.6145, time 231.51ms, mfu 0.56%
iter 164: loss 2.6671, time 231.93ms, mfu 0.56%
iter 165: loss 2.6410, time 239.97ms, mfu 0.55%
iter 166: loss 2.6406, time 234.85ms, mfu 0.55%
iter 167: loss 2.6308, time 232.92ms, mfu 0.55%
iter 168: loss 2.6774, time 316.43ms, mfu 0.54%
iter 169: loss 2.6590, time 218.96ms, mfu 0.55%
iter 170: loss 2.6495, time 226.62ms, mfu 0.55%
iter 171: loss 2.6707, time 223.20ms, mfu 0.55%
iter 172: loss 2.6614, time 230.13ms, mfu 0.55%
iter 173: loss 2.6172, time 225.70ms, mfu 0.56%
iter 174: loss 2.7008, time 227.06ms, mfu 0.56%
iter 175: loss 2.7674, time 230.43ms, mfu 0.56%
iter 176: loss 2.5502, time 232.43ms, mfu 0.56%
iter 177: loss 2.6146, time 231.42ms, mfu 0.56%
iter 178: loss 2.6894, time 233.84ms, mfu 0.56%
iter 179: loss 2.5149, time 254.81ms, mfu 0.55%
iter 180: loss 2.7401, time 238.79ms, mfu 0.55%
iter 181: loss 2.5907, time 241.19ms, mfu 0.55%
iter 182: loss 2.5457, time 231.34ms, mfu 0.55%
iter 183: loss 2.5504, time 241.98ms, mfu 0.55%
iter 184: loss 2.5667, time 236.00ms, mfu 0.55%
iter 185: loss 2.6076, time 239.28ms, mfu 0.55%
iter 186: loss 2.7238, time 230.48ms, mfu 0.55%
iter 187: loss 2.5287, time 228.39ms, mfu 0.55%
iter 188: loss 2.6246, time 256.37ms, mfu 0.55%
iter 189: loss 2.5536, time 242.85ms, mfu 0.55%
iter 190: loss 2.6062, time 228.60ms, mfu 0.55%
iter 191: loss 2.6324, time 232.46ms, mfu 0.55%
iter 192: loss 2.7151, time 228.53ms, mfu 0.55%
iter 193: loss 2.5219, time 279.83ms, mfu 0.54%
iter 194: loss 2.5720, time 220.94ms, mfu 0.55%
iter 195: loss 2.5593, time 236.41ms, mfu 0.55%
iter 196: loss 2.5280, time 234.75ms, mfu 0.55%
iter 197: loss 2.7030, time 225.25ms, mfu 0.55%
iter 198: loss 2.5498, time 230.20ms, mfu 0.55%
iter 199: loss 2.6164, time 229.65ms, mfu 0.55%
step 200: train loss 2.5354, val loss 2.5504
saving checkpoint to C:\Users\dunke\nanoGPT_CSCE5218\out\b64_l4_h4_e256_bs8_it2000_do01
iter 200: loss 2.6434, time 1170.63ms, mfu 0.51%
iter 201: loss 2.5552, time 296.89ms, mfu 0.50%
iter 202: loss 2.5756, time 224.03ms, mfu 0.51%
iter 203: loss 2.5214, time 224.61ms, mfu 0.52%
iter 204: loss 2.5386, time 270.08ms, mfu 0.51%
iter 205: loss 2.5584, time 236.67ms, mfu 0.52%
iter 206: loss 2.5223, time 246.01ms, mfu 0.52%
iter 207: loss 2.5571, time 232.54ms, mfu 0.52%
iter 208: loss 2.5653, time 243.05ms, mfu 0.52%
iter 209: loss 2.5744, time 233.06ms, mfu 0.53%
iter 210: loss 2.5710, time 230.54ms, mfu 0.53%
iter 211: loss 2.5316, time 223.01ms, mfu 0.54%
iter 212: loss 2.5247, time 221.05ms, mfu 0.54%
iter 213: loss 2.5245, time 224.01ms, mfu 0.54%
iter 214: loss 2.5845, time 292.72ms, mfu 0.53%
iter 215: loss 2.5511, time 219.09ms, mfu 0.54%
iter 216: loss 2.6548, time 214.58ms, mfu 0.55%
iter 217: loss 2.5296, time 251.48ms, mfu 0.54%
iter 218: loss 2.5593, time 224.06ms, mfu 0.55%
iter 219: loss 2.5657, time 221.57ms, mfu 0.55%
iter 220: loss 2.4290, time 219.02ms, mfu 0.56%
iter 221: loss 2.5196, time 220.01ms, mfu 0.56%
iter 222: loss 2.5884, time 226.07ms, mfu 0.56%
iter 223: loss 2.5335, time 229.01ms, mfu 0.56%
iter 224: loss 2.5204, time 228.03ms, mfu 0.56%
iter 225: loss 2.5196, time 229.06ms, mfu 0.56%
iter 226: loss 2.5215, time 227.05ms, mfu 0.56%
iter 227: loss 2.5682, time 256.52ms, mfu 0.56%
iter 228: loss 2.4737, time 239.03ms, mfu 0.56%
iter 229: loss 2.4967, time 238.67ms, mfu 0.55%
iter 230: loss 2.5137, time 249.05ms, mfu 0.55%
iter 231: loss 2.4757, time 247.52ms, mfu 0.55%
iter 232: loss 2.5531, time 239.05ms, mfu 0.55%
iter 233: loss 2.4906, time 242.07ms, mfu 0.55%
iter 234: loss 2.4996, time 220.62ms, mfu 0.55%
iter 235: loss 2.5002, time 224.97ms, mfu 0.55%
iter 236: loss 2.4954, time 227.09ms, mfu 0.56%
iter 237: loss 2.5081, time 223.09ms, mfu 0.56%
iter 238: loss 2.5171, time 227.52ms, mfu 0.56%
iter 239: loss 2.4914, time 234.02ms, mfu 0.56%
iter 240: loss 2.5342, time 284.65ms, mfu 0.55%
iter 241: loss 2.5566, time 219.03ms, mfu 0.55%
iter 242: loss 2.5400, time 219.06ms, mfu 0.56%
iter 243: loss 2.5539, time 221.04ms, mfu 0.56%
iter 244: loss 2.4601, time 225.57ms, mfu 0.56%
iter 245: loss 2.5705, time 226.06ms, mfu 0.56%
iter 246: loss 2.5017, time 229.10ms, mfu 0.56%
iter 247: loss 2.6376, time 243.53ms, mfu 0.56%
iter 248: loss 2.4706, time 230.01ms, mfu 0.56%
iter 249: loss 2.4039, time 244.08ms, mfu 0.56%
iter 250: loss 2.4648, time 229.57ms, mfu 0.56%
iter 251: loss 2.5669, time 222.02ms, mfu 0.56%
iter 252: loss 2.4379, time 246.24ms, mfu 0.56%
iter 253: loss 2.5099, time 226.53ms, mfu 0.56%
iter 254: loss 2.4980, time 229.01ms, mfu 0.56%
iter 255: loss 2.4356, time 230.03ms, mfu 0.56%
iter 256: loss 2.3747, time 238.53ms, mfu 0.56%
iter 257: loss 2.4793, time 239.05ms, mfu 0.56%
iter 258: loss 2.4700, time 244.05ms, mfu 0.55%
iter 259: loss 2.4639, time 233.64ms, mfu 0.55%
iter 260: loss 2.5469, time 237.02ms, mfu 0.55%
iter 261: loss 2.4882, time 225.02ms, mfu 0.56%
iter 262: loss 2.4445, time 212.52ms, mfu 0.56%
iter 263: loss 2.4852, time 234.08ms, mfu 0.56%
iter 264: loss 2.5039, time 230.05ms, mfu 0.56%
iter 265: loss 2.3596, time 245.53ms, mfu 0.56%
iter 266: loss 2.4467, time 269.02ms, mfu 0.55%
iter 267: loss 2.4622, time 228.03ms, mfu 0.55%
iter 268: loss 2.4660, time 227.13ms, mfu 0.55%
iter 269: loss 2.4720, time 233.02ms, mfu 0.55%
iter 270: loss 2.3183, time 238.52ms, mfu 0.55%
