Overriding: dataset = shakespeare_char
Overriding: block_size = 64
Overriding: n_layer = 4
Overriding: n_head = 4
Overriding: n_embd = 128
Overriding: batch_size = 16
Overriding: max_iters = 2000
Overriding: dropout = 0.2
Overriding: eval_interval = 200
Overriding: compile = False
Overriding: out_dir = C:\Users\dunke\nanoGPT_CSCE5218\out\b64_l4_h4_e128_bs16_it2000_do02
Overriding: wandb_log = False
tokens per iteration will be: 40,960
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 0.80M
num decayed parameter tensors: 18, with 802,944 parameters
num non-decayed parameter tensors: 9, with 1,152 parameters
using fused AdamW: True
iter 141: loss 3.3023, time 269.39ms, mfu 0.27%
iter 142: loss 3.3390, time 228.17ms, mfu 0.28%
iter 143: loss 3.3586, time 258.99ms, mfu 0.28%
iter 144: loss 3.3028, time 256.90ms, mfu 0.27%
iter 145: loss 3.3358, time 307.82ms, mfu 0.27%
iter 146: loss 3.3385, time 230.80ms, mfu 0.27%
iter 147: loss 3.3039, time 270.55ms, mfu 0.27%
iter 148: loss 3.3126, time 266.14ms, mfu 0.27%
iter 149: loss 3.3196, time 224.52ms, mfu 0.27%
iter 150: loss 3.3210, time 268.40ms, mfu 0.27%
iter 151: loss 3.2790, time 294.98ms, mfu 0.27%
iter 152: loss 3.2812, time 358.87ms, mfu 0.26%
iter 153: loss 3.2546, time 342.22ms, mfu 0.25%
iter 154: loss 3.2810, time 255.42ms, mfu 0.25%
iter 155: loss 3.3019, time 264.86ms, mfu 0.25%
iter 156: loss 3.2700, time 280.21ms, mfu 0.25%
iter 157: loss 3.2968, time 281.08ms, mfu 0.25%
iter 158: loss 3.2830, time 279.00ms, mfu 0.25%
iter 159: loss 3.2557, time 289.88ms, mfu 0.25%
iter 160: loss 3.2459, time 246.78ms, mfu 0.25%
iter 161: loss 3.3314, time 260.33ms, mfu 0.25%
iter 162: loss 3.2253, time 253.20ms, mfu 0.25%
iter 163: loss 3.2688, time 242.59ms, mfu 0.26%
iter 164: loss 3.1885, time 232.20ms, mfu 0.26%
iter 165: loss 3.2474, time 257.58ms, mfu 0.26%
iter 166: loss 3.1755, time 259.75ms, mfu 0.26%
iter 167: loss 3.2256, time 232.64ms, mfu 0.26%
iter 168: loss 3.1857, time 228.65ms, mfu 0.27%
iter 169: loss 3.1859, time 329.60ms, mfu 0.26%
iter 170: loss 3.1891, time 319.70ms, mfu 0.26%
iter 171: loss 3.1918, time 264.56ms, mfu 0.26%
iter 172: loss 3.1852, time 291.56ms, mfu 0.25%
iter 173: loss 3.2179, time 273.93ms, mfu 0.25%
iter 174: loss 3.1862, time 330.31ms, mfu 0.25%
iter 175: loss 3.2097, time 296.89ms, mfu 0.25%
iter 176: loss 3.2101, time 314.75ms, mfu 0.24%
iter 177: loss 3.1696, time 295.80ms, mfu 0.24%
iter 178: loss 3.1609, time 265.38ms, mfu 0.24%
iter 179: loss 3.1787, time 288.96ms, mfu 0.24%
iter 180: loss 3.2104, time 280.14ms, mfu 0.24%
iter 181: loss 3.1333, time 276.25ms, mfu 0.24%
iter 182: loss 3.1485, time 284.65ms, mfu 0.24%
iter 183: loss 3.1099, time 288.22ms, mfu 0.24%
iter 184: loss 3.1761, time 276.34ms, mfu 0.24%
iter 185: loss 3.1449, time 297.09ms, mfu 0.24%
iter 186: loss 3.1679, time 308.20ms, mfu 0.24%
iter 187: loss 3.1882, time 304.06ms, mfu 0.24%
iter 188: loss 3.1474, time 279.38ms, mfu 0.24%
iter 189: loss 3.1510, time 353.35ms, mfu 0.23%
iter 190: loss 3.1771, time 295.82ms, mfu 0.23%
iter 191: loss 3.1302, time 270.87ms, mfu 0.23%
iter 192: loss 3.1318, time 268.75ms, mfu 0.24%
iter 193: loss 3.1325, time 304.26ms, mfu 0.23%
iter 194: loss 3.1830, time 274.58ms, mfu 0.24%
iter 195: loss 3.1191, time 325.54ms, mfu 0.23%
iter 196: loss 3.0517, time 295.62ms, mfu 0.23%
iter 197: loss 3.0833, time 278.33ms, mfu 0.23%
iter 198: loss 3.0914, time 279.85ms, mfu 0.23%
iter 199: loss 3.0931, time 285.01ms, mfu 0.24%
step 200: train loss 3.0390, val loss 3.0472
saving checkpoint to C:\Users\dunke\nanoGPT_CSCE5218\out\b64_l4_h4_e128_bs16_it2000_do02
iter 200: loss 3.0773, time 1521.82ms, mfu 0.22%
iter 201: loss 3.0694, time 321.96ms, mfu 0.22%
iter 202: loss 3.1033, time 282.24ms, mfu 0.22%
iter 203: loss 3.0928, time 303.26ms, mfu 0.22%
iter 204: loss 3.0262, time 276.16ms, mfu 0.22%
iter 205: loss 3.0059, time 264.09ms, mfu 0.22%
iter 206: loss 3.0284, time 276.35ms, mfu 0.23%
iter 207: loss 3.0343, time 298.38ms, mfu 0.23%
iter 208: loss 3.0515, time 285.73ms, mfu 0.23%
iter 209: loss 3.0656, time 278.01ms, mfu 0.23%
iter 210: loss 3.0536, time 275.35ms, mfu 0.23%
iter 211: loss 3.0762, time 307.92ms, mfu 0.23%
iter 212: loss 3.0513, time 262.13ms, mfu 0.23%
iter 213: loss 3.0407, time 257.47ms, mfu 0.24%
iter 214: loss 3.0637, time 306.36ms, mfu 0.23%
iter 215: loss 3.0544, time 283.22ms, mfu 0.24%
iter 216: loss 3.0117, time 289.44ms, mfu 0.24%
iter 217: loss 3.0227, time 281.49ms, mfu 0.24%
iter 218: loss 2.9805, time 274.36ms, mfu 0.24%
iter 219: loss 3.0450, time 282.65ms, mfu 0.24%
iter 220: loss 3.0060, time 304.08ms, mfu 0.24%
iter 221: loss 3.0558, time 280.85ms, mfu 0.24%
iter 222: loss 3.0394, time 273.71ms, mfu 0.24%
iter 223: loss 3.0107, time 279.62ms, mfu 0.24%
iter 224: loss 3.0462, time 298.65ms, mfu 0.24%
iter 225: loss 3.0142, time 270.87ms, mfu 0.24%
iter 226: loss 2.9484, time 290.76ms, mfu 0.24%
iter 227: loss 2.9864, time 293.78ms, mfu 0.24%
iter 228: loss 2.9795, time 285.19ms, mfu 0.24%
iter 229: loss 3.0384, time 252.55ms, mfu 0.24%
iter 230: loss 3.0068, time 342.03ms, mfu 0.24%
iter 231: loss 2.9681, time 271.84ms, mfu 0.24%
iter 232: loss 2.9864, time 307.53ms, mfu 0.24%
iter 233: loss 2.9676, time 281.99ms, mfu 0.24%
iter 234: loss 2.9548, time 295.25ms, mfu 0.24%
iter 235: loss 2.9742, time 289.92ms, mfu 0.24%
iter 236: loss 2.8953, time 264.41ms, mfu 0.24%
iter 237: loss 2.9276, time 277.36ms, mfu 0.24%
iter 238: loss 2.9507, time 300.64ms, mfu 0.24%
iter 239: loss 2.9246, time 305.43ms, mfu 0.24%
iter 240: loss 2.9452, time 263.80ms, mfu 0.24%
iter 241: loss 2.9814, time 325.94ms, mfu 0.23%
iter 242: loss 2.9971, time 282.10ms, mfu 0.24%
iter 243: loss 2.9120, time 275.81ms, mfu 0.24%
iter 244: loss 2.9219, time 283.81ms, mfu 0.24%
iter 245: loss 2.9547, time 265.52ms, mfu 0.24%
iter 246: loss 2.9456, time 286.37ms, mfu 0.24%
iter 247: loss 2.8651, time 294.92ms, mfu 0.24%
iter 248: loss 2.9613, time 292.22ms, mfu 0.24%
iter 249: loss 2.9163, time 271.44ms, mfu 0.24%
iter 250: loss 2.9024, time 285.53ms, mfu 0.24%
iter 251: loss 2.8499, time 273.92ms, mfu 0.24%
iter 252: loss 2.8321, time 286.98ms, mfu 0.24%
iter 253: loss 2.9523, time 329.33ms, mfu 0.24%
iter 254: loss 2.9473, time 278.30ms, mfu 0.24%
iter 255: loss 2.9238, time 274.89ms, mfu 0.24%
iter 256: loss 2.9292, time 277.05ms, mfu 0.24%
iter 257: loss 2.9025, time 261.08ms, mfu 0.24%
iter 258: loss 2.9126, time 291.20ms, mfu 0.24%
iter 259: loss 2.8927, time 277.38ms, mfu 0.24%
iter 260: loss 2.8784, time 316.42ms, mfu 0.24%
iter 261: loss 2.9339, time 244.23ms, mfu 0.24%
iter 262: loss 2.8618, time 351.75ms, mfu 0.24%
iter 263: loss 2.8555, time 322.89ms, mfu 0.23%
iter 264: loss 2.8376, time 282.13ms, mfu 0.23%
iter 265: loss 2.9150, time 296.52ms, mfu 0.23%
iter 266: loss 2.8384, time 291.03ms, mfu 0.23%
iter 267: loss 2.8440, time 283.37ms, mfu 0.23%
iter 268: loss 2.8446, time 268.21ms, mfu 0.24%
iter 269: loss 2.8415, time 462.42ms, mfu 0.23%
iter 270: loss 2.9357, time 333.86ms, mfu 0.23%
iter 271: loss 2.8742, time 295.29ms, mfu 0.23%
iter 272: loss 2.7969, time 287.05ms, mfu 0.23%
iter 273: loss 2.8439, time 272.90ms, mfu 0.23%
iter 274: loss 2.8316, time 255.72ms, mfu 0.23%
iter 275: loss 2.8099, time 260.75ms, mfu 0.24%
iter 276: loss 2.8114, time 264.74ms, mfu 0.24%
iter 277: loss 2.8344, time 260.80ms, mfu 0.24%
iter 278: loss 2.8495, time 292.03ms, mfu 0.24%
iter 279: loss 2.8399, time 276.59ms, mfu 0.24%
iter 280: loss 2.8079, time 291.35ms, mfu 0.24%
iter 281: loss 2.8148, time 282.33ms, mfu 0.24%
iter 282: loss 2.8470, time 276.32ms, mfu 0.24%
iter 283: loss 2.8589, time 278.91ms, mfu 0.24%
iter 284: loss 2.8318, time 288.30ms, mfu 0.24%
iter 285: loss 2.9003, time 287.36ms, mfu 0.24%
iter 286: loss 2.8162, time 279.65ms, mfu 0.24%
iter 287: loss 2.8272, time 295.72ms, mfu 0.24%
iter 288: loss 2.7929, time 285.27ms, mfu 0.24%
iter 289: loss 2.8228, time 268.76ms, mfu 0.24%
iter 290: loss 2.7449, time 354.72ms, mfu 0.24%
iter 291: loss 2.7611, time 298.21ms, mfu 0.23%
iter 292: loss 2.7336, time 293.84ms, mfu 0.23%
iter 293: loss 2.8011, time 289.64ms, mfu 0.23%
iter 294: loss 2.8549, time 301.88ms, mfu 0.23%
iter 295: loss 2.7468, time 301.42ms, mfu 0.23%
iter 296: loss 2.8222, time 292.54ms, mfu 0.23%
iter 297: loss 2.7864, time 273.42ms, mfu 0.23%
iter 298: loss 2.8005, time 293.64ms, mfu 0.23%
iter 299: loss 2.7836, time 360.71ms, mfu 0.23%
iter 300: loss 2.8052, time 283.63ms, mfu 0.23%
iter 301: loss 2.7351, time 275.97ms, mfu 0.23%
iter 302: loss 2.7961, time 274.01ms, mfu 0.23%
iter 303: loss 2.8123, time 270.73ms, mfu 0.23%
iter 304: loss 2.7903, time 250.08ms, mfu 0.24%
iter 305: loss 2.8149, time 247.21ms, mfu 0.24%
iter 306: loss 2.8479, time 267.03ms, mfu 0.24%
iter 307: loss 2.7965, time 245.57ms, mfu 0.25%
iter 308: loss 2.7266, time 257.07ms, mfu 0.25%
iter 309: loss 2.7843, time 296.93ms, mfu 0.25%
iter 310: loss 2.7628, time 296.37ms, mfu 0.24%
iter 311: loss 2.6779, time 309.13ms, mfu 0.24%
iter 312: loss 2.6906, time 261.57ms, mfu 0.24%
iter 313: loss 2.7223, time 289.76ms, mfu 0.24%
iter 314: loss 2.6828, time 279.43ms, mfu 0.24%
iter 315: loss 2.7331, time 296.33ms, mfu 0.24%
iter 316: loss 2.7028, time 260.17ms, mfu 0.24%
iter 317: loss 2.7830, time 263.34ms, mfu 0.24%
iter 318: loss 2.7697, time 269.37ms, mfu 0.25%
iter 319: loss 2.8006, time 285.57ms, mfu 0.24%
iter 320: loss 2.7343, time 265.42ms, mfu 0.25%
iter 321: loss 2.6837, time 254.04ms, mfu 0.25%
iter 322: loss 2.7195, time 256.24ms, mfu 0.25%
iter 323: loss 2.7255, time 289.42ms, mfu 0.25%
iter 324: loss 2.6487, time 260.62ms, mfu 0.25%
iter 325: loss 2.6777, time 313.80ms, mfu 0.25%
iter 326: loss 2.6701, time 252.30ms, mfu 0.25%
iter 327: loss 2.6821, time 254.34ms, mfu 0.25%
iter 328: loss 2.7283, time 256.83ms, mfu 0.25%
iter 329: loss 2.6760, time 289.02ms, mfu 0.25%
iter 330: loss 2.6851, time 362.91ms, mfu 0.24%
iter 331: loss 2.6513, time 288.26ms, mfu 0.24%
iter 332: loss 2.6724, time 265.14ms, mfu 0.24%
iter 333: loss 2.6177, time 256.57ms, mfu 0.25%
iter 334: loss 2.7253, time 355.46ms, mfu 0.24%
iter 335: loss 2.6478, time 293.88ms, mfu 0.24%
iter 336: loss 2.7027, time 367.96ms, mfu 0.23%
iter 337: loss 2.6647, time 388.25ms, mfu 0.23%
iter 338: loss 2.6844, time 344.82ms, mfu 0.23%
iter 339: loss 2.6874, time 290.90ms, mfu 0.23%
iter 340: loss 2.7517, time 276.15ms, mfu 0.23%
iter 341: loss 2.7007, time 289.85ms, mfu 0.23%
iter 342: loss 2.7115, time 302.52ms, mfu 0.23%
iter 343: loss 2.6916, time 284.24ms, mfu 0.23%
iter 344: loss 2.6432, time 266.31ms, mfu 0.23%
iter 345: loss 2.6686, time 289.48ms, mfu 0.23%
iter 346: loss 2.6622, time 345.84ms, mfu 0.23%
iter 347: loss 2.6477, time 289.13ms, mfu 0.23%
iter 348: loss 2.7009, time 297.00ms, mfu 0.23%
iter 349: loss 2.6959, time 293.90ms, mfu 0.23%
iter 350: loss 2.5817, time 320.42ms, mfu 0.23%
iter 351: loss 2.5851, time 289.52ms, mfu 0.23%
iter 352: loss 2.6942, time 295.41ms, mfu 0.23%
iter 353: loss 2.6873, time 308.38ms, mfu 0.23%
