Overriding: dataset = shakespeare_char
Overriding: block_size = 64
Overriding: n_layer = 4
Overriding: n_head = 8
Overriding: n_embd = 256
Overriding: batch_size = 8
Overriding: max_iters = 2000
Overriding: dropout = 0.2
Overriding: eval_interval = 200
Overriding: compile = False
Overriding: out_dir = C:\Users\dunke\nanoGPT_CSCE5218\out\b64_l4_h8_e256_bs8_it2000_do02
Overriding: wandb_log = False
tokens per iteration will be: 20,480
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 3.16M
num decayed parameter tensors: 18, with 3,178,752 parameters
num non-decayed parameter tensors: 9, with 2,304 parameters
iter 438: loss 2.2825, time 207.30ms, mfu 0.62%
iter 439: loss 2.3907, time 204.68ms, mfu 0.62%
iter 440: loss 2.3239, time 202.59ms, mfu 0.63%
iter 441: loss 2.3224, time 204.93ms, mfu 0.63%
iter 442: loss 2.2672, time 220.56ms, mfu 0.62%
iter 443: loss 2.4545, time 201.74ms, mfu 0.62%
iter 444: loss 2.3285, time 202.82ms, mfu 0.63%
iter 445: loss 2.2584, time 200.57ms, mfu 0.63%
iter 446: loss 2.2959, time 201.40ms, mfu 0.63%
iter 447: loss 2.1421, time 229.27ms, mfu 0.62%
iter 448: loss 2.2869, time 206.28ms, mfu 0.62%
iter 449: loss 2.2576, time 203.33ms, mfu 0.63%
iter 450: loss 2.3675, time 206.80ms, mfu 0.63%
iter 451: loss 2.2892, time 204.50ms, mfu 0.63%
iter 452: loss 2.2538, time 207.49ms, mfu 0.63%
iter 453: loss 2.2830, time 206.46ms, mfu 0.63%
iter 454: loss 2.1769, time 202.24ms, mfu 0.63%
iter 455: loss 2.3198, time 203.57ms, mfu 0.63%
iter 456: loss 2.2411, time 203.06ms, mfu 0.63%
iter 457: loss 2.2373, time 218.86ms, mfu 0.63%
iter 458: loss 2.2209, time 204.94ms, mfu 0.63%
iter 459: loss 2.3217, time 201.91ms, mfu 0.63%
iter 460: loss 2.2498, time 205.23ms, mfu 0.63%
iter 461: loss 2.2922, time 202.33ms, mfu 0.63%
iter 462: loss 2.2118, time 203.44ms, mfu 0.63%
iter 463: loss 2.2474, time 203.81ms, mfu 0.63%
iter 464: loss 2.2144, time 206.51ms, mfu 0.63%
iter 465: loss 2.3143, time 205.13ms, mfu 0.63%
iter 466: loss 2.2393, time 239.38ms, mfu 0.62%
iter 467: loss 2.3057, time 276.78ms, mfu 0.61%
iter 468: loss 2.2090, time 211.46ms, mfu 0.61%
iter 469: loss 2.2753, time 204.42ms, mfu 0.61%
iter 470: loss 2.2897, time 210.33ms, mfu 0.61%
iter 471: loss 2.3725, time 207.89ms, mfu 0.61%
iter 472: loss 2.3606, time 209.24ms, mfu 0.61%
iter 473: loss 2.2892, time 203.22ms, mfu 0.62%
iter 474: loss 2.2881, time 206.66ms, mfu 0.62%
iter 475: loss 2.3895, time 203.31ms, mfu 0.62%
iter 476: loss 2.1938, time 246.78ms, mfu 0.61%
iter 477: loss 2.2374, time 207.55ms, mfu 0.61%
iter 478: loss 2.2960, time 206.81ms, mfu 0.61%
iter 479: loss 2.1785, time 207.85ms, mfu 0.61%
iter 480: loss 2.2743, time 215.81ms, mfu 0.61%
iter 481: loss 2.1921, time 207.20ms, mfu 0.61%
iter 482: loss 2.1831, time 224.09ms, mfu 0.61%
iter 483: loss 2.2124, time 207.33ms, mfu 0.61%
iter 484: loss 2.2732, time 211.66ms, mfu 0.61%
iter 485: loss 2.2830, time 206.63ms, mfu 0.61%
iter 486: loss 2.3089, time 206.21ms, mfu 0.62%
iter 487: loss 2.1733, time 241.87ms, mfu 0.61%
iter 488: loss 2.1987, time 213.42ms, mfu 0.61%
iter 489: loss 2.1894, time 204.44ms, mfu 0.61%
iter 490: loss 2.2732, time 206.01ms, mfu 0.61%
iter 491: loss 2.2659, time 205.75ms, mfu 0.61%
iter 492: loss 2.3411, time 202.91ms, mfu 0.62%
iter 493: loss 2.1515, time 201.92ms, mfu 0.62%
iter 494: loss 2.2815, time 203.59ms, mfu 0.62%
iter 495: loss 2.2079, time 204.84ms, mfu 0.62%
iter 496: loss 2.3385, time 204.85ms, mfu 0.62%
iter 497: loss 2.2891, time 204.85ms, mfu 0.62%
iter 498: loss 2.2537, time 207.90ms, mfu 0.62%
iter 499: loss 2.2348, time 233.00ms, mfu 0.62%
iter 500: loss 2.2488, time 241.72ms, mfu 0.61%
iter 501: loss 2.2508, time 231.76ms, mfu 0.60%
iter 502: loss 2.1827, time 264.29ms, mfu 0.59%
iter 503: loss 2.2134, time 261.55ms, mfu 0.58%
iter 504: loss 2.1847, time 266.55ms, mfu 0.57%
iter 505: loss 2.2133, time 270.53ms, mfu 0.56%
iter 506: loss 2.3166, time 253.26ms, mfu 0.56%
iter 507: loss 2.1945, time 255.83ms, mfu 0.55%
iter 508: loss 2.2398, time 250.22ms, mfu 0.55%
iter 509: loss 2.1596, time 262.93ms, mfu 0.54%
iter 510: loss 2.1920, time 260.77ms, mfu 0.54%
iter 511: loss 2.2357, time 258.50ms, mfu 0.54%
iter 512: loss 2.1509, time 260.21ms, mfu 0.53%
iter 513: loss 2.1765, time 260.26ms, mfu 0.53%
iter 514: loss 2.0791, time 259.19ms, mfu 0.53%
iter 515: loss 2.1928, time 253.97ms, mfu 0.52%
iter 516: loss 2.2491, time 265.00ms, mfu 0.52%
iter 517: loss 2.2154, time 269.24ms, mfu 0.52%
iter 518: loss 2.1732, time 271.12ms, mfu 0.51%
iter 519: loss 2.2660, time 271.52ms, mfu 0.51%
iter 520: loss 2.1608, time 259.67ms, mfu 0.51%
iter 521: loss 2.1873, time 275.08ms, mfu 0.51%
iter 522: loss 2.1856, time 251.38ms, mfu 0.51%
iter 523: loss 2.1558, time 270.24ms, mfu 0.50%
iter 524: loss 2.2210, time 257.46ms, mfu 0.50%
iter 525: loss 2.1856, time 267.01ms, mfu 0.50%
iter 526: loss 2.1676, time 244.71ms, mfu 0.50%
iter 527: loss 2.1580, time 258.42ms, mfu 0.50%
iter 528: loss 2.1303, time 265.04ms, mfu 0.50%
iter 529: loss 2.2711, time 273.26ms, mfu 0.50%
iter 530: loss 2.1979, time 250.78ms, mfu 0.50%
iter 531: loss 2.2228, time 267.44ms, mfu 0.50%
iter 532: loss 2.2274, time 245.92ms, mfu 0.50%
iter 533: loss 2.2802, time 266.55ms, mfu 0.50%
iter 534: loss 2.2138, time 273.49ms, mfu 0.50%
iter 535: loss 2.3163, time 256.39ms, mfu 0.50%
iter 536: loss 2.3163, time 262.24ms, mfu 0.50%
iter 537: loss 2.2056, time 265.22ms, mfu 0.50%
iter 538: loss 2.2196, time 262.83ms, mfu 0.50%
iter 539: loss 2.1389, time 265.80ms, mfu 0.50%
iter 540: loss 2.1876, time 274.53ms, mfu 0.49%
iter 541: loss 2.2667, time 264.39ms, mfu 0.49%
iter 542: loss 2.2346, time 258.40ms, mfu 0.49%
iter 543: loss 2.1529, time 272.03ms, mfu 0.49%
iter 544: loss 2.2245, time 274.73ms, mfu 0.49%
iter 545: loss 2.2151, time 269.11ms, mfu 0.49%
iter 546: loss 2.2229, time 274.50ms, mfu 0.49%
iter 547: loss 2.1956, time 266.99ms, mfu 0.49%
iter 548: loss 2.2121, time 261.37ms, mfu 0.49%
iter 549: loss 2.2250, time 270.53ms, mfu 0.49%
iter 550: loss 2.0718, time 234.79ms, mfu 0.49%
iter 551: loss 2.1608, time 262.71ms, mfu 0.49%
iter 552: loss 2.0853, time 263.99ms, mfu 0.49%
iter 553: loss 2.2108, time 251.25ms, mfu 0.50%
iter 554: loss 2.2309, time 263.71ms, mfu 0.50%
iter 555: loss 2.1730, time 246.54ms, mfu 0.50%
iter 556: loss 2.1750, time 275.43ms, mfu 0.50%
iter 557: loss 2.2092, time 254.70ms, mfu 0.50%
iter 558: loss 2.2012, time 242.63ms, mfu 0.50%
iter 559: loss 2.2188, time 248.17ms, mfu 0.50%
iter 560: loss 2.2334, time 265.59ms, mfu 0.50%
iter 561: loss 2.0724, time 260.47ms, mfu 0.50%
iter 562: loss 2.2212, time 241.68ms, mfu 0.51%
iter 563: loss 2.1595, time 256.27ms, mfu 0.51%
iter 564: loss 2.1710, time 267.06ms, mfu 0.50%
iter 565: loss 2.1730, time 266.84ms, mfu 0.50%
iter 566: loss 2.1110, time 254.15ms, mfu 0.50%
iter 567: loss 2.0724, time 256.62ms, mfu 0.50%
iter 568: loss 2.1839, time 249.62ms, mfu 0.50%
iter 569: loss 2.1927, time 260.35ms, mfu 0.50%
iter 570: loss 2.0708, time 262.52ms, mfu 0.50%
iter 571: loss 2.2294, time 245.00ms, mfu 0.51%
iter 572: loss 2.0811, time 258.89ms, mfu 0.51%
iter 573: loss 2.1764, time 256.75ms, mfu 0.51%
iter 574: loss 2.3042, time 263.71ms, mfu 0.50%
iter 575: loss 2.2195, time 251.84ms, mfu 0.51%
iter 576: loss 2.0709, time 263.88ms, mfu 0.50%
iter 577: loss 2.1930, time 270.97ms, mfu 0.50%
iter 578: loss 2.2828, time 275.50ms, mfu 0.50%
iter 579: loss 2.1044, time 269.35ms, mfu 0.50%
iter 580: loss 2.1379, time 250.93ms, mfu 0.50%
iter 581: loss 2.1930, time 257.77ms, mfu 0.50%
iter 582: loss 2.1182, time 264.54ms, mfu 0.50%
iter 583: loss 2.0686, time 272.47ms, mfu 0.50%
iter 584: loss 2.1632, time 272.52ms, mfu 0.49%
iter 585: loss 2.1151, time 275.31ms, mfu 0.49%
iter 586: loss 2.1322, time 274.60ms, mfu 0.49%
iter 587: loss 2.1069, time 260.56ms, mfu 0.49%
iter 588: loss 2.0795, time 245.07ms, mfu 0.49%
iter 589: loss 2.0945, time 265.59ms, mfu 0.49%
iter 590: loss 2.0776, time 270.93ms, mfu 0.49%
iter 591: loss 2.2130, time 221.57ms, mfu 0.50%
iter 592: loss 2.0803, time 233.85ms, mfu 0.51%
iter 593: loss 2.0120, time 271.27ms, mfu 0.50%
iter 594: loss 2.0783, time 273.92ms, mfu 0.50%
iter 595: loss 2.1610, time 283.22ms, mfu 0.50%
iter 596: loss 2.0760, time 261.93ms, mfu 0.50%
iter 597: loss 2.1314, time 276.95ms, mfu 0.49%
iter 598: loss 2.1627, time 268.29ms, mfu 0.49%
iter 599: loss 2.0660, time 238.86ms, mfu 0.50%
step 600: train loss 2.0493, val loss 2.0939
saving checkpoint to C:\Users\dunke\nanoGPT_CSCE5218\out\b64_l4_h8_e256_bs8_it2000_do02
iter 600: loss 2.1192, time 1403.63ms, mfu 0.46%
iter 601: loss 2.0838, time 274.34ms, mfu 0.46%
iter 602: loss 2.1826, time 267.89ms, mfu 0.46%
iter 603: loss 2.0843, time 236.06ms, mfu 0.47%
iter 604: loss 2.2123, time 263.44ms, mfu 0.47%
iter 605: loss 2.0901, time 239.02ms, mfu 0.48%
iter 606: loss 1.9976, time 275.15ms, mfu 0.48%
iter 607: loss 2.1303, time 279.29ms, mfu 0.48%
iter 608: loss 2.1629, time 278.61ms, mfu 0.48%
iter 609: loss 2.1184, time 279.50ms, mfu 0.48%
iter 610: loss 2.2034, time 245.75ms, mfu 0.48%
iter 611: loss 2.0981, time 220.60ms, mfu 0.49%
iter 612: loss 2.1925, time 214.18ms, mfu 0.50%
iter 613: loss 2.2620, time 212.50ms, mfu 0.51%
iter 614: loss 2.1337, time 212.36ms, mfu 0.52%
iter 615: loss 2.1794, time 209.13ms, mfu 0.53%
iter 616: loss 2.1817, time 205.76ms, mfu 0.54%
iter 617: loss 2.0436, time 218.14ms, mfu 0.55%
iter 618: loss 2.0761, time 209.68ms, mfu 0.56%
iter 619: loss 2.0990, time 233.84ms, mfu 0.56%
iter 620: loss 2.1273, time 210.27ms, mfu 0.56%
iter 621: loss 2.0937, time 219.71ms, mfu 0.56%
iter 622: loss 1.9914, time 216.90ms, mfu 0.57%
iter 623: loss 2.0621, time 212.20ms, mfu 0.57%
iter 624: loss 2.0912, time 203.75ms, mfu 0.58%
iter 625: loss 2.1054, time 240.95ms, mfu 0.57%
iter 626: loss 2.1697, time 224.88ms, mfu 0.57%
iter 627: loss 1.9706, time 227.62ms, mfu 0.57%
iter 628: loss 2.0722, time 227.22ms, mfu 0.57%
iter 629: loss 2.1093, time 219.94ms, mfu 0.58%
iter 630: loss 2.2192, time 229.68ms, mfu 0.57%
iter 631: loss 2.1277, time 229.42ms, mfu 0.57%
iter 632: loss 2.1032, time 225.43ms, mfu 0.57%
iter 633: loss 2.0889, time 238.57ms, mfu 0.57%
iter 634: loss 1.9852, time 219.85ms, mfu 0.57%
iter 635: loss 2.1092, time 215.68ms, mfu 0.58%
iter 636: loss 2.1790, time 212.60ms, mfu 0.58%
iter 637: loss 2.1412, time 222.65ms, mfu 0.58%
iter 638: loss 2.0897, time 206.10ms, mfu 0.58%
iter 639: loss 1.9957, time 216.67ms, mfu 0.59%
iter 640: loss 2.1208, time 218.62ms, mfu 0.59%
iter 641: loss 2.1498, time 208.59ms, mfu 0.59%
iter 642: loss 1.9734, time 205.66ms, mfu 0.59%
iter 643: loss 2.0454, time 217.98ms, mfu 0.59%
iter 644: loss 2.1116, time 212.02ms, mfu 0.60%
iter 645: loss 2.1297, time 215.91ms, mfu 0.60%
iter 646: loss 2.0274, time 221.72ms, mfu 0.60%
iter 647: loss 1.9357, time 239.63ms, mfu 0.59%
iter 648: loss 2.0243, time 218.53ms, mfu 0.59%
iter 649: loss 2.0921, time 232.88ms, mfu 0.59%
iter 650: loss 2.1298, time 221.28ms, mfu 0.59%
iter 651: loss 2.0100, time 222.39ms, mfu 0.59%
iter 652: loss 2.0923, time 207.38ms, mfu 0.59%
iter 653: loss 2.0456, time 233.04ms, mfu 0.59%
iter 654: loss 2.0991, time 219.08ms, mfu 0.59%
iter 655: loss 2.0592, time 232.41ms, mfu 0.58%
iter 656: loss 2.0663, time 221.62ms, mfu 0.59%
iter 657: loss 2.0916, time 206.06ms, mfu 0.59%
iter 658: loss 2.0988, time 208.78ms, mfu 0.59%
iter 659: loss 2.0888, time 217.63ms, mfu 0.59%
iter 660: loss 2.0966, time 215.92ms, mfu 0.59%
iter 661: loss 2.0316, time 211.65ms, mfu 0.60%
iter 662: loss 2.0518, time 216.33ms, mfu 0.60%
iter 663: loss 2.0137, time 216.15ms, mfu 0.60%
iter 664: loss 2.0819, time 221.09ms, mfu 0.60%
iter 665: loss 2.0308, time 216.55ms, mfu 0.60%
iter 666: loss 2.0603, time 210.92ms, mfu 0.60%
iter 667: loss 2.0941, time 201.16ms, mfu 0.60%
iter 668: loss 2.0511, time 211.83ms, mfu 0.60%
iter 669: loss 2.2047, time 222.31ms, mfu 0.60%
iter 670: loss 2.1112, time 209.56ms, mfu 0.60%
iter 671: loss 1.9954, time 240.77ms, mfu 0.60%
iter 672: loss 2.0776, time 233.82ms, mfu 0.59%
iter 673: loss 1.9859, time 220.46ms, mfu 0.59%
iter 674: loss 2.0363, time 226.12ms, mfu 0.59%
iter 675: loss 2.0002, time 217.35ms, mfu 0.59%
iter 676: loss 2.2629, time 224.32ms, mfu 0.59%
iter 677: loss 2.1717, time 239.27ms, mfu 0.59%
iter 678: loss 2.0218, time 251.07ms, mfu 0.58%
iter 679: loss 2.1165, time 273.82ms, mfu 0.57%
iter 680: loss 2.0058, time 319.41ms, mfu 0.55%
iter 681: loss 1.9548, time 239.88ms, mfu 0.55%
iter 682: loss 2.1023, time 236.46ms, mfu 0.55%
iter 683: loss 1.9552, time 209.76ms, mfu 0.56%
iter 684: loss 2.0174, time 210.60ms, mfu 0.56%
iter 685: loss 2.0249, time 212.92ms, mfu 0.57%
iter 686: loss 1.9878, time 251.47ms, mfu 0.56%
iter 687: loss 2.0279, time 244.72ms, mfu 0.56%
iter 688: loss 2.0811, time 214.65ms, mfu 0.56%
iter 689: loss 2.0101, time 207.75ms, mfu 0.57%
iter 690: loss 1.9947, time 211.98ms, mfu 0.57%
iter 691: loss 1.9592, time 212.30ms, mfu 0.58%
iter 692: loss 2.0408, time 213.12ms, mfu 0.58%
iter 693: loss 2.0096, time 211.10ms, mfu 0.58%
iter 694: loss 2.0022, time 215.31ms, mfu 0.59%
iter 695: loss 1.9859, time 217.28ms, mfu 0.59%
iter 696: loss 2.0884, time 235.44ms, mfu 0.58%
iter 697: loss 2.0612, time 221.53ms, mfu 0.58%
iter 698: loss 2.0055, time 225.17ms, mfu 0.58%
iter 699: loss 1.9543, time 226.60ms, mfu 0.58%
iter 700: loss 2.0502, time 234.10ms, mfu 0.58%
iter 701: loss 2.1142, time 225.03ms, mfu 0.58%
iter 702: loss 2.0507, time 215.65ms, mfu 0.58%
iter 703: loss 2.0248, time 213.37ms, mfu 0.58%
iter 704: loss 1.9974, time 214.49ms, mfu 0.59%
iter 705: loss 2.0170, time 220.82ms, mfu 0.59%
iter 706: loss 2.0884, time 215.29ms, mfu 0.59%
iter 707: loss 1.9308, time 210.36ms, mfu 0.59%
iter 708: loss 2.0406, time 212.31ms, mfu 0.59%
iter 709: loss 2.0755, time 214.57ms, mfu 0.59%
iter 710: loss 1.9247, time 218.97ms, mfu 0.59%
iter 711: loss 2.0461, time 216.16ms, mfu 0.59%
iter 712: loss 1.9615, time 214.41ms, mfu 0.60%
iter 713: loss 1.9467, time 213.59ms, mfu 0.60%
iter 714: loss 1.9210, time 209.11ms, mfu 0.60%
iter 715: loss 2.0678, time 202.82ms, mfu 0.60%
iter 716: loss 2.0394, time 234.23ms, mfu 0.60%
iter 717: loss 2.0823, time 214.30ms, mfu 0.60%
iter 718: loss 1.9401, time 209.99ms, mfu 0.60%
iter 719: loss 2.0456, time 216.30ms, mfu 0.60%
iter 720: loss 2.0051, time 226.96ms, mfu 0.60%
iter 721: loss 1.9768, time 252.20ms, mfu 0.59%
iter 722: loss 2.0534, time 216.62ms, mfu 0.59%
iter 723: loss 1.9877, time 211.28ms, mfu 0.59%
iter 724: loss 2.0115, time 213.28ms, mfu 0.59%
iter 725: loss 2.0630, time 216.79ms, mfu 0.60%
iter 726: loss 2.0826, time 230.53ms, mfu 0.59%
iter 727: loss 2.0487, time 206.29ms, mfu 0.60%
iter 728: loss 2.1223, time 212.12ms, mfu 0.60%
iter 729: loss 2.0151, time 225.07ms, mfu 0.60%
iter 730: loss 2.0408, time 217.13ms, mfu 0.60%
iter 731: loss 2.0967, time 217.02ms, mfu 0.60%
iter 732: loss 1.9925, time 226.61ms, mfu 0.59%
iter 733: loss 1.9788, time 226.11ms, mfu 0.59%
iter 734: loss 2.1627, time 210.57ms, mfu 0.59%
iter 735: loss 2.0115, time 208.09ms, mfu 0.60%
iter 736: loss 2.0395, time 203.79ms, mfu 0.60%
iter 737: loss 2.1447, time 217.02ms, mfu 0.60%
iter 738: loss 1.9562, time 215.04ms, mfu 0.60%
iter 739: loss 1.9600, time 206.77ms, mfu 0.60%
iter 740: loss 2.0291, time 214.57ms, mfu 0.60%
iter 741: loss 1.8896, time 211.63ms, mfu 0.60%
iter 742: loss 1.9386, time 211.69ms, mfu 0.61%
iter 743: loss 2.0822, time 215.49ms, mfu 0.61%
iter 744: loss 1.9498, time 216.45ms, mfu 0.60%
iter 745: loss 1.9295, time 216.56ms, mfu 0.60%
iter 746: loss 1.9879, time 270.98ms, mfu 0.59%
iter 747: loss 2.0181, time 214.35ms, mfu 0.59%
iter 748: loss 2.0585, time 212.42ms, mfu 0.59%
iter 749: loss 1.9667, time 219.73ms, mfu 0.59%
iter 750: loss 1.9160, time 211.87ms, mfu 0.60%
iter 751: loss 1.9590, time 222.27ms, mfu 0.60%
iter 752: loss 2.0134, time 216.52ms, mfu 0.60%
iter 753: loss 1.9172, time 217.59ms, mfu 0.60%
iter 754: loss 1.9433, time 210.69ms, mfu 0.60%
iter 755: loss 2.1033, time 219.59ms, mfu 0.60%
iter 756: loss 2.0136, time 221.34ms, mfu 0.60%
iter 757: loss 1.9939, time 215.30ms, mfu 0.60%
iter 758: loss 1.9097, time 216.24ms, mfu 0.60%
iter 759: loss 1.8599, time 216.93ms, mfu 0.60%
iter 760: loss 1.9722, time 215.87ms, mfu 0.60%
iter 761: loss 1.9981, time 210.26ms, mfu 0.60%
iter 762: loss 2.0600, time 235.77ms, mfu 0.59%
iter 763: loss 2.0192, time 211.52ms, mfu 0.60%
iter 764: loss 2.0376, time 208.85ms, mfu 0.60%
iter 765: loss 2.0214, time 215.67ms, mfu 0.60%
iter 766: loss 1.9787, time 213.67ms, mfu 0.60%
iter 767: loss 2.0431, time 208.96ms, mfu 0.60%
iter 768: loss 1.9737, time 211.91ms, mfu 0.60%
iter 769: loss 1.9339, time 205.87ms, mfu 0.61%
iter 770: loss 1.9327, time 217.02ms, mfu 0.61%
iter 771: loss 2.0040, time 211.71ms, mfu 0.61%
iter 772: loss 1.9948, time 206.58ms, mfu 0.61%
iter 773: loss 1.9107, time 208.30ms, mfu 0.61%
iter 774: loss 2.0870, time 207.90ms, mfu 0.61%
iter 775: loss 1.8708, time 213.13ms, mfu 0.61%
iter 776: loss 1.8903, time 215.27ms, mfu 0.61%
iter 777: loss 2.1704, time 204.31ms, mfu 0.61%
iter 778: loss 2.0020, time 223.79ms, mfu 0.61%
iter 779: loss 1.8249, time 209.88ms, mfu 0.61%
iter 780: loss 1.9204, time 210.89ms, mfu 0.61%
iter 781: loss 1.8284, time 214.13ms, mfu 0.61%
iter 782: loss 2.0412, time 217.25ms, mfu 0.61%
iter 783: loss 1.9364, time 221.91ms, mfu 0.61%
iter 784: loss 1.8959, time 215.06ms, mfu 0.61%
iter 785: loss 2.0438, time 200.36ms, mfu 0.61%
iter 786: loss 1.9893, time 210.25ms, mfu 0.61%
iter 787: loss 2.0018, time 211.15ms, mfu 0.61%
iter 788: loss 1.9555, time 216.95ms, mfu 0.61%
iter 789: loss 1.8644, time 209.55ms, mfu 0.61%
iter 790: loss 2.0746, time 218.10ms, mfu 0.61%
iter 791: loss 1.8914, time 220.15ms, mfu 0.61%
iter 792: loss 1.9624, time 223.67ms, mfu 0.60%
iter 793: loss 2.1238, time 223.27ms, mfu 0.60%
iter 794: loss 2.0759, time 215.79ms, mfu 0.60%
iter 795: loss 1.9444, time 210.59ms, mfu 0.60%
iter 796: loss 1.9290, time 213.34ms, mfu 0.60%
iter 797: loss 2.0085, time 219.75ms, mfu 0.60%
iter 798: loss 1.9008, time 219.04ms, mfu 0.60%
iter 799: loss 1.8997, time 216.12ms, mfu 0.60%
step 800: train loss 1.8300, val loss 1.9373
saving checkpoint to C:\Users\dunke\nanoGPT_CSCE5218\out\b64_l4_h8_e256_bs8_it2000_do02
iter 800: loss 2.0157, time 1097.09ms, mfu 0.55%
iter 801: loss 1.8925, time 214.03ms, mfu 0.56%
iter 802: loss 1.9532, time 221.05ms, mfu 0.56%
iter 803: loss 1.8397, time 207.77ms, mfu 0.57%
iter 804: loss 1.9515, time 212.60ms, mfu 0.57%
iter 805: loss 1.9811, time 247.28ms, mfu 0.57%
iter 806: loss 1.8076, time 228.00ms, mfu 0.57%
iter 807: loss 1.9382, time 225.01ms, mfu 0.57%
iter 808: loss 1.8871, time 216.65ms, mfu 0.57%
iter 809: loss 1.9841, time 225.17ms, mfu 0.57%
iter 810: loss 2.0512, time 219.69ms, mfu 0.57%
iter 811: loss 1.9113, time 230.43ms, mfu 0.57%
iter 812: loss 1.9795, time 213.57ms, mfu 0.58%
iter 813: loss 2.0068, time 212.29ms, mfu 0.58%
iter 814: loss 1.9305, time 216.70ms, mfu 0.58%
iter 815: loss 1.9678, time 234.12ms, mfu 0.58%
iter 816: loss 1.9112, time 207.36ms, mfu 0.58%
iter 817: loss 1.9930, time 219.36ms, mfu 0.58%
iter 818: loss 2.0075, time 225.23ms, mfu 0.58%
iter 819: loss 1.8721, time 228.43ms, mfu 0.58%
iter 820: loss 1.8175, time 225.60ms, mfu 0.58%
iter 821: loss 2.0128, time 228.00ms, mfu 0.58%
iter 822: loss 1.8722, time 206.76ms, mfu 0.59%
iter 823: loss 1.7981, time 210.66ms, mfu 0.59%
iter 824: loss 1.9722, time 213.04ms, mfu 0.59%
iter 825: loss 2.0352, time 224.87ms, mfu 0.59%
iter 826: loss 1.9565, time 226.42ms, mfu 0.59%
iter 827: loss 1.9056, time 222.22ms, mfu 0.59%
iter 828: loss 1.8992, time 246.36ms, mfu 0.58%
iter 829: loss 1.8019, time 234.33ms, mfu 0.58%
iter 830: loss 1.8661, time 218.98ms, mfu 0.58%
iter 831: loss 2.0164, time 214.81ms, mfu 0.58%
iter 832: loss 1.9833, time 220.63ms, mfu 0.58%
iter 833: loss 1.9248, time 210.33ms, mfu 0.59%
iter 834: loss 1.8457, time 217.46ms, mfu 0.59%
iter 835: loss 2.0600, time 218.70ms, mfu 0.59%
iter 836: loss 2.0415, time 218.20ms, mfu 0.59%
iter 837: loss 1.9292, time 208.98ms, mfu 0.59%
iter 838: loss 1.8400, time 221.34ms, mfu 0.59%
iter 839: loss 1.8279, time 213.10ms, mfu 0.59%
iter 840: loss 1.9243, time 212.15ms, mfu 0.59%
iter 841: loss 1.8715, time 210.87ms, mfu 0.60%
iter 842: loss 2.0033, time 210.51ms, mfu 0.60%
iter 843: loss 1.9068, time 216.97ms, mfu 0.60%
iter 844: loss 1.8073, time 212.35ms, mfu 0.60%
iter 845: loss 1.9275, time 207.33ms, mfu 0.60%
iter 846: loss 1.9324, time 219.19ms, mfu 0.60%
iter 847: loss 2.0363, time 209.32ms, mfu 0.60%
iter 848: loss 1.9621, time 219.28ms, mfu 0.60%
iter 849: loss 1.9273, time 210.06ms, mfu 0.60%
iter 850: loss 1.8500, time 210.28ms, mfu 0.61%
iter 851: loss 1.9288, time 229.31ms, mfu 0.60%
iter 852: loss 1.9105, time 216.44ms, mfu 0.60%
iter 853: loss 1.8896, time 214.37ms, mfu 0.60%
iter 854: loss 1.8923, time 217.43ms, mfu 0.60%
iter 855: loss 1.6751, time 206.68ms, mfu 0.60%
iter 856: loss 1.8729, time 209.13ms, mfu 0.61%
iter 857: loss 1.7897, time 222.03ms, mfu 0.60%
iter 858: loss 1.8306, time 219.04ms, mfu 0.60%
iter 859: loss 1.9660, time 223.01ms, mfu 0.60%
iter 860: loss 1.8665, time 227.21ms, mfu 0.60%
iter 861: loss 2.0221, time 215.48ms, mfu 0.60%
iter 862: loss 1.9237, time 204.95ms, mfu 0.60%
iter 863: loss 1.9821, time 222.49ms, mfu 0.60%
iter 864: loss 1.8055, time 234.71ms, mfu 0.59%
iter 865: loss 1.9280, time 220.04ms, mfu 0.59%
iter 866: loss 1.9365, time 219.91ms, mfu 0.59%
iter 867: loss 1.8685, time 215.13ms, mfu 0.59%
iter 868: loss 1.8936, time 206.29ms, mfu 0.60%
iter 869: loss 1.8288, time 208.58ms, mfu 0.60%
iter 870: loss 2.0052, time 212.91ms, mfu 0.60%
iter 871: loss 1.9609, time 219.22ms, mfu 0.60%
iter 872: loss 1.7706, time 212.06ms, mfu 0.60%
iter 873: loss 1.9620, time 213.93ms, mfu 0.60%
iter 874: loss 1.9696, time 215.58ms, mfu 0.60%
iter 875: loss 1.8649, time 211.38ms, mfu 0.60%
iter 876: loss 1.8821, time 221.39ms, mfu 0.60%
iter 877: loss 1.8525, time 218.30ms, mfu 0.60%
iter 878: loss 1.9105, time 224.23ms, mfu 0.60%
iter 879: loss 1.9095, time 212.21ms, mfu 0.60%
iter 880: loss 1.9014, time 204.85ms, mfu 0.60%
iter 881: loss 1.8520, time 202.01ms, mfu 0.61%
iter 882: loss 1.8749, time 203.02ms, mfu 0.61%
iter 883: loss 1.8159, time 205.03ms, mfu 0.61%
iter 884: loss 2.0225, time 205.06ms, mfu 0.61%
iter 885: loss 1.9458, time 203.51ms, mfu 0.62%
iter 886: loss 1.9014, time 204.73ms, mfu 0.62%
iter 887: loss 2.0149, time 202.75ms, mfu 0.62%
